TÊN THỨC ĂN,Calories (kcal),Protein (g),Fat (g),Carbonhydrates (g),Chất xơ (g),Cholesterol (mg),Canxi (mg),Photpho (mg),Sắt (mg),Natri (mg),Kali (mg),Beta Caroten (mcg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin C (mg),Loại
Thịt bò khô,239,"51,0","1,6","5,2","0,0",0,31,"476,0","8,1",0,0,0,"0,0","0,13","0,0",THỊT VÀ SẢN PHẨM CHẾ BIẾN
Xúc xích,535,"27,2","47,4","0,0","0,0",0,7,"139,0","1,9",0,0,0,"0,0","0,34","0,0",THỊT VÀ SẢN PHẨM CHẾ BIẾN
Ếch,90,"20,0","1,1","0,0","0,0",0,22,"159,0","1,3",0,0,0,"5,0","0,04","0,0",THỊT VÀ SẢN PHẨM CHẾ BIẾN
Nhộng,111,"13,0","6,5","0,0","0,0",0,40,"109,0","0,0",0,0,0,"0,0","0,00","0,0",THỊT VÀ SẢN PHẨM CHẾ BIẾN
Cá bống,70,"15,8","0,8","0,0","0,0",0,17,"181,0","0,9",0,0,0,"0,0","0,02","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá chép,96,"16,0","3,6","0,0","0,0",70,17,"184,0","0,9",0,397,0,"181,0","0,02","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá đối,108,"19,5","3,3","0,0","0,0",0,21,"224,0","1,0",0,0,0,"45,0","0,07","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá hồi,136,"22,0","5,3","0,0","0,0",0,13,"230,0","1,1",0,0,0,"30,0","0,22","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá khô,208,"43,3","3,9","0,0","0,0",0,120,"95,0","0,9",0,0,0,"0,0","0,08","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá mè,144,"15,4","9,1","0,0","0,0",0,157,"215,0","0,0",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá mòi,124,"17,5","6,0","0,0","0,0",0,80,"240,0","3,0",0,0,0,"20,0","0,02","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
